sec;CHP;Electrolysis;Heatpump;Boiler;Beladen TES;Entladen TES;date
795600;1;0;0.661316433;0;0;1;10.01.2018 04:59
799200;1;0;0.658117806;0.25;1;0;10.01.2018 05:59
802800;1;0;0.651804941;0.25;1;0;10.01.2018 06:59
806400;1;0;0.65076358;0.25;0;1;10.01.2018 07:59
810000;1;0;0.657057893;0.25;0;1;10.01.2018 08:59
813600;1;0;0.656001105;0.25;0;1;10.01.2018 09:59
817200;1;0;0.656001105;0.25;1;0;10.01.2018 10:59
820800;1;0;0.657057893;0.25;1;0;10.01.2018 11:59
824400;1;0;0.659180858;0.25;1;0;10.01.2018 12:59
828000;1;0;0.661316433;0.25;1;0;10.01.2018 13:59
831600;1;0.55584755;0.658117806;0.25;1;0;10.01.2018 14:59
835200;1;0;0.659180858;0.25;1;0;10.01.2018 15:59
838800;1;0;0.656001105;0;0;1;10.01.2018 16:59
842400;1;0;0.656001105;0.25;1;0;10.01.2018 17:59
846000;1;0;0.656001105;0.25;1;0;10.01.2018 18:59
849600;1;0;0.656001105;0.25;1;0;10.01.2018 19:59
853200;1;0;0.653896852;0;0;1;10.01.2018 20:59
856800;1;0;0.651804941;0.25;1;0;10.01.2018 21:59
860400;1;0;0.648689984;0.25;1;0;10.01.2018 22:59
864000;1;0;0.642541278;0.25;1;0;10.01.2018 23:59
867600;1;0;0.638501201;0.25;1;0;11.01.2018 00:59
871200;1;0;0.637498451;0.25;1;0;11.01.2018 01:59
874800;1;0;0.63252771;0.25;1;0;11.01.2018 02:59
878400;1;0;0.630559264;0.25;1;0;11.01.2018 03:59
882000;1;0;0.629579247;0.25;1;0;11.01.2018 04:59
885600;1;0;0.626655883;0.25;0;1;11.01.2018 05:59
889200;1;0;0.626655883;0.25;0;1;11.01.2018 06:59
892800;1;0;0.629579247;0.25;0;1;11.01.2018 07:59
896400;1;0;0.633516164;0.25;0;1;11.01.2018 08:59
900000;1;0.50995253;0.637498451;0.25;0;1;11.01.2018 09:59
903600;1;0.721817909;0.638501201;0.25;0;1;11.01.2018 10:59
907200;1;0.5;0.644578935;0.25;1;0;11.01.2018 11:59
910800;1;0.527943717;0.65076358;0.25;1;0;11.01.2018 12:59
914400;1;0.715526227;0.653896852;0.25;1;0;11.01.2018 13:59
918000;1;0;0.658117806;0.25;1;0;11.01.2018 14:59
921600;1;0;0.659180858;0.25;1;0;11.01.2018 15:59
925200;1;0;0.658117806;0;0;1;11.01.2018 16:59
928800;0.990351692;0;0.661316433;0.25;1;0;11.01.2018 17:59
932400;0.98945462;0;0.664543677;0.25;1;0;11.01.2018 18:59
936000;0.990975975;0;0.668891831;0.25;1;0;11.01.2018 19:59
939600;0.993023645;0;0.674400883;0;0;1;11.01.2018 20:59
943200;0.993964277;0;0.671085518;0.25;1;0;11.01.2018 21:59
946800;0.99554314;0;0.673292431;0.25;1;0;11.01.2018 22:59
950400;0.992578592;0;0.676627853;0;0;1;11.01.2018 23:59
954000;0.99070677;0;0.676627853;0.25;1;0;12.01.2018 00:59
957600;0.990238119;0;0.676627853;0;0;1;12.01.2018 01:59
961200;0.988685559;0;0.668891831;0.25;1;0;12.01.2018 02:59
964800;0.989609784;0;0.671085518;0;0;1;12.01.2018 03:59
968400;0.99529624;0;0.676627853;0.25;1;0;12.01.2018 04:59
972000;1;0;0.675512685;0.25;1;0;12.01.2018 05:59
975600;0.998959943;0;0.673292431;0.25;1;0;12.01.2018 06:59
979200;0.9967672;0;0.681122469;0.25;1;0;12.01.2018 07:59
982800;0.912859679;0;0.6777464;0.25;1;0;12.01.2018 08:59
986400;1;0.5;0.678868342;0.25;1;0;12.01.2018 09:59
990000;0.835268048;0;0.681122469;0.25;1;0;12.01.2018 10:59
993600;0.861716012;0;0.678868342;0.25;1;0;12.01.2018 11:59
997200;0.851655852;0;0.6777464;0;0;1;12.01.2018 12:59
1000800;1;0.5;0.679993693;0.25;1;0;12.01.2018 13:59
1004400;0.863961382;0;0.675512685;0;0;1;12.01.2018 14:59
1008000;0.988850032;0;0.672187314;0.25;1;0;12.01.2018 15:59
1011600;0.98988022;0;0.673292431;0;0;1;12.01.2018 16:59
1015200;0.998532096;0;0.674400883;0.25;1;0;12.01.2018 17:59
1018800;0.995913292;0;0.672187314;0.25;1;0;12.01.2018 18:59
1022400;0.995878419;0;0.675512685;0.25;1;0;12.01.2018 19:59
1026000;0.991793006;0;0.675512685;0.25;1;0;12.01.2018 20:59
1029600;0.99105297;0;0.681122469;0;0;1;12.01.2018 21:59
1033200;0.991009235;0;0.679993693;0.25;1;0;12.01.2018 22:59
1036800;0.989957028;0;0.683390357;0;0;1;12.01.2018 23:59
1040400;0.989302435;0;0.682254686;0.25;1;0;13.01.2018 00:59
1044000;0.988540947;0;0.678868342;0;0;1;13.01.2018 01:59
1047600;0.988937436;0;0.6777464;0.25;1;0;13.01.2018 02:59
1051200;0.989198675;0;0.676627853;0;0;1;13.01.2018 03:59
1054800;0.994102815;0;0.678868342;0.25;1;0;13.01.2018 04:59
1058400;1;0;0.679993693;0.25;1;0;13.01.2018 05:59
1062000;0.998486157;0;0.6777464;0.25;1;0;13.01.2018 06:59
1065600;1;0;0.6777464;0.25;1;0;13.01.2018 07:59
1069200;0.946381826;0;0.681122469;0.25;1;0;13.01.2018 08:59
1072800;0.864341408;0;0.973244641;0;0;1;13.01.2018 09:59
1076400;0.796369748;0;0.981463441;0;0;1;13.01.2018 10:59
1080000;0.855054245;0;0.98478668;0;0;1;13.01.2018 11:59
1083600;0.918088809;0;0.98478668;0;0;1;13.01.2018 12:59
1087200;0.940538442;0;0.976516968;0;0;1;13.01.2018 13:59
1090800;1;0;0.983122486;0;1;0;13.01.2018 14:59
1094400;1;0;0.988130607;0;1;0;13.01.2018 15:59
1098000;1;0;0.986456046;0;1;0;13.01.2018 16:59
1101600;1;0;0.991495409;0.25;1;0;13.01.2018 17:59
1105200;1;0;0.989810387;0;0;1;13.01.2018 18:59
1108800;1;0;0.993185698;0;0;1;13.01.2018 19:59
1112400;1;0;0.996582171;0;1;0;13.01.2018 20:59
1116000;1;0;1;0;1;0;13.01.2018 21:59
1119600;1;0;0.998288404;0;1;0;13.01.2018 22:59
1123200;1;0;1;0;1;0;13.01.2018 23:59
1126800;1;0;1;0;1;0;14.01.2018 00:59
1130400;1;0;1;0;1;0;14.01.2018 01:59
1134000;1;0;1;0;1;0;14.01.2018 02:59
1137600;1;0;1;0;1;0;14.01.2018 03:59
1141200;1;0;1;0;1;0;14.01.2018 04:59
1144800;1;0;1;0;1;0;14.01.2018 05:59
1148400;1;0;1;0;1;0;14.01.2018 06:59
1152000;1;0;1;0;1;0;14.01.2018 07:59
1155600;0.986387954;0;1;0;0;1;14.01.2018 08:59
1159200;0.919166081;0;1;0;0;1;14.01.2018 09:59
1162800;0.897165847;0;1;0;0;1;14.01.2018 10:59
1166400;0.879533558;0;1;0;1;0;14.01.2018 11:59
1170000;0.898106191;0;1;0;1;0;14.01.2018 12:59
1173600;0.927250863;0;1;0;1;0;14.01.2018 13:59
1177200;0.992630846;0;1;0;1;0;14.01.2018 14:59
1180800;1;0;1;0;1;0;14.01.2018 15:59
1184400;1;0;1;0;1;0;14.01.2018 16:59
1188000;1;0;1;0;1;0;14.01.2018 17:59
1191600;1;0;1;0;1;0;14.01.2018 18:59
1195200;1;0;1;0;1;0;14.01.2018 19:59
1198800;1;0;1;0;1;0;14.01.2018 20:59
1202400;1;0;1;0;1;0;14.01.2018 21:59
1206000;1;0;1;0;1;0;14.01.2018 22:59
1209600;1;0;1;0;1;0;14.01.2018 23:59
1213200;1;0;1;0;1;0;15.01.2018 00:59
1216800;1;0;0.998288404;0;1;0;15.01.2018 01:59
1220400;1;0;1;0;1;0;15.01.2018 02:59
1224000;1;0;0.996582171;0;1;0;15.01.2018 03:59
1227600;1;0;0.983122486;0;1;0;15.01.2018 04:59
1231200;1;0;0.986456046;0;1;0;15.01.2018 05:59
1234800;1;0;0.979809522;0;0;1;15.01.2018 06:59
1238400;1;0;0.978160705;0;0;1;15.01.2018 07:59
1242000;0.958000156;0;0.991495409;0;0;1;15.01.2018 08:59
1245600;0.812539941;0;0.998288404;0;0;1;15.01.2018 09:59
1249200;0.801472586;0;1;0;0;1;15.01.2018 10:59
1252800;0.795423378;0;1;0;1;0;15.01.2018 11:59
1256400;0.843030635;0;1;0;1;0;15.01.2018 12:59
1260000;0.846579068;0;1;0;1;0;15.01.2018 13:59
1263600;0.945485383;0;1;0;1;0;15.01.2018 14:59
1267200;1;0;1;0;1;0;15.01.2018 15:59
1270800;1;0;1;0;1;0;15.01.2018 16:59
1274400;1;0;1;0;1;0;15.01.2018 17:59
1278000;1;0;1;0;1;0;15.01.2018 18:59
1281600;1;0;1;0;1;0;15.01.2018 19:59
1285200;1;0;1;0;1;0;15.01.2018 20:59
1288800;0.995554177;0;1;0;1;0;15.01.2018 21:59
1292400;0.989782698;0;1;0;1;0;15.01.2018 22:59
1296000;0.983846199;0;1;0;1;0;15.01.2018 23:59
1299600;0.988701916;0;1;0;1;0;16.01.2018 00:59
1303200;0.984810071;0;1;0;1;0;16.01.2018 01:59
1306800;0.987760753;0;1;0;1;0;16.01.2018 02:59
1310400;0.993554775;0;1;0;1;0;16.01.2018 03:59
1314000;1;0;1;0;1;0;16.01.2018 04:59
1317600;1;0;1;0;1;0;16.01.2018 05:59
1321200;1;0;1;0;1;0;16.01.2018 06:59
1324800;0.994177065;0;1;0;1;0;16.01.2018 07:59
1328400;0.932858246;0;1;0;1;0;16.01.2018 08:59
1332000;0.891463069;0;1;0;1;0;16.01.2018 09:59
1335600;0.8574174;0;1;0;1;0;16.01.2018 10:59
1339200;0.798663601;0;1;0;1;0;16.01.2018 11:59
1342800;0.805723681;0;1;0;1;0;16.01.2018 12:59
1346400;0.551066946;0;1;0;1;0;16.01.2018 13:59
1350000;0.536301565;0;1;0;1;0;16.01.2018 14:59
