sec;CHP;Electrolysis;Heatpump;Boiler;Beladen TES;Entladen TES;date
763200;-1;-1;-1;-1;-1;-1;09.01.2018 19:59
766800;-1;-1;-1;-1;-1;-1;09.01.2018 20:59
770400;-1;-1;-1;-1;-1;-1;09.01.2018 21:59
774000;-1;-1;-1;-1;-1;-1;09.01.2018 22:59
777600;-1;-1;-1;-1;-1;-1;09.01.2018 23:59
781200;-1;-1;-1;-1;-1;-1;10.01.2018 00:59
784800;-1;-1;-1;-1;-1;-1;10.01.2018 01:59
788400;-1;-1;-1;-1;-1;-1;10.01.2018 02:59
792000;-1;-1;-1;-1;-1;-1;10.01.2018 03:59
795600;-1;-1;-1;-1;-1;-1;10.01.2018 04:59
799200;-1;-1;-1;-1;-1;-1;10.01.2018 05:59
802800;-1;-1;-1;-1;-1;-1;10.01.2018 06:59
806400;-1;-1;-1;-1;-1;-1;10.01.2018 07:59
810000;-1;-1;-1;-1;-1;-1;10.01.2018 08:59
813600;-1;-1;-1;-1;-1;-1;10.01.2018 09:59
817200;-1;-1;-1;-1;-1;-1;10.01.2018 10:59
820800;-1;-1;-1;-1;-1;-1;10.01.2018 11:59
824400;-1;-1;-1;-1;-1;-1;10.01.2018 12:59
828000;-1;-1;-1;-1;-1;-1;10.01.2018 13:59
831600;-1;-1;-1;-1;-1;-1;10.01.2018 14:59
835200;-1;-1;-1;-1;-1;-1;10.01.2018 15:59
838800;-1;-1;-1;-1;-1;-1;10.01.2018 16:59
842400;-1;-1;-1;-1;-1;-1;10.01.2018 17:59
846000;-1;-1;-1;-1;-1;-1;10.01.2018 18:59
849600;-1;-1;-1;-1;-1;-1;10.01.2018 19:59
853200;-1;-1;-1;-1;-1;-1;10.01.2018 20:59
856800;-1;-1;-1;-1;-1;-1;10.01.2018 21:59
860400;-1;-1;-1;-1;-1;-1;10.01.2018 22:59
864000;-1;-1;-1;-1;-1;-1;10.01.2018 23:59
867600;-1;-1;-1;-1;-1;-1;11.01.2018 00:59
871200;-1;-1;-1;-1;-1;-1;11.01.2018 01:59
874800;-1;-1;-1;-1;-1;-1;11.01.2018 02:59
878400;-1;-1;-1;-1;-1;-1;11.01.2018 03:59
882000;-1;-1;-1;-1;-1;-1;11.01.2018 04:59
885600;-1;-1;-1;-1;-1;-1;11.01.2018 05:59
889200;-1;-1;-1;-1;-1;-1;11.01.2018 06:59
892800;-1;-1;-1;-1;-1;-1;11.01.2018 07:59
896400;-1;-1;-1;-1;-1;-1;11.01.2018 08:59
900000;-1;-1;-1;-1;-1;-1;11.01.2018 09:59
903600;-1;-1;-1;-1;-1;-1;11.01.2018 10:59
907200;-1;-1;-1;-1;-1;-1;11.01.2018 11:59
910800;-1;-1;-1;-1;-1;-1;11.01.2018 12:59
914400;-1;-1;-1;-1;-1;-1;11.01.2018 13:59
918000;-1;-1;-1;-1;-1;-1;11.01.2018 14:59
921600;-1;-1;-1;-1;-1;-1;11.01.2018 15:59
925200;-1;-1;-1;-1;-1;-1;11.01.2018 16:59
928800;-1;-1;-1;-1;-1;-1;11.01.2018 17:59
932400;-1;-1;-1;-1;-1;-1;11.01.2018 18:59
936000;-1;-1;-1;-1;-1;-1;11.01.2018 19:59
939600;-1;-1;-1;-1;-1;-1;11.01.2018 20:59
943200;-1;-1;-1;-1;-1;-1;11.01.2018 21:59
946800;-1;-1;-1;-1;-1;-1;11.01.2018 22:59
950400;-1;-1;-1;-1;-1;-1;11.01.2018 23:59
954000;-1;-1;-1;-1;-1;-1;12.01.2018 00:59
957600;-1;-1;-1;-1;-1;-1;12.01.2018 01:59
961200;-1;-1;-1;-1;-1;-1;12.01.2018 02:59
964800;-1;-1;-1;-1;-1;-1;12.01.2018 03:59
968400;-1;-1;-1;-1;-1;-1;12.01.2018 04:59
972000;-1;-1;-1;-1;-1;-1;12.01.2018 05:59
975600;-1;-1;-1;-1;-1;-1;12.01.2018 06:59
979200;-1;-1;-1;-1;-1;-1;12.01.2018 07:59
982800;-1;-1;-1;-1;-1;-1;12.01.2018 08:59
986400;-1;-1;-1;-1;-1;-1;12.01.2018 09:59
990000;-1;-1;-1;-1;-1;-1;12.01.2018 10:59
993600;-1;-1;-1;-1;-1;-1;12.01.2018 11:59
997200;-1;-1;-1;-1;-1;-1;12.01.2018 12:59
1000800;-1;-1;-1;-1;-1;-1;12.01.2018 13:59
1004400;-1;-1;-1;-1;-1;-1;12.01.2018 14:59
1008000;-1;-1;-1;-1;-1;-1;12.01.2018 15:59
1011600;-1;-1;-1;-1;-1;-1;12.01.2018 16:59
1015200;-1;-1;-1;-1;-1;-1;12.01.2018 17:59
1018800;-1;-1;-1;-1;-1;-1;12.01.2018 18:59
1022400;-1;-1;-1;-1;-1;-1;12.01.2018 19:59
1026000;-1;-1;-1;-1;-1;-1;12.01.2018 20:59
1029600;-1;-1;-1;-1;-1;-1;12.01.2018 21:59
1033200;-1;-1;-1;-1;-1;-1;12.01.2018 22:59
1036800;-1;-1;-1;-1;-1;-1;12.01.2018 23:59
1040400;-1;-1;-1;-1;-1;-1;13.01.2018 00:59
1044000;-1;-1;-1;-1;-1;-1;13.01.2018 01:59
1047600;-1;-1;-1;-1;-1;-1;13.01.2018 02:59
1051200;-1;-1;-1;-1;-1;-1;13.01.2018 03:59
1054800;-1;-1;-1;-1;-1;-1;13.01.2018 04:59
1058400;-1;-1;-1;-1;-1;-1;13.01.2018 05:59
1062000;-1;-1;-1;-1;-1;-1;13.01.2018 06:59
1065600;-1;-1;-1;-1;-1;-1;13.01.2018 07:59
1069200;-1;-1;-1;-1;-1;-1;13.01.2018 08:59
1072800;-1;-1;-1;-1;-1;-1;13.01.2018 09:59
1076400;-1;-1;-1;-1;-1;-1;13.01.2018 10:59
