HOUR;E_th_RH_HH;E_th_TWE_HH;E_el_HH;E_th_RH_GHD;E_th_TWE_GHD;E_el_GHD;E_th_KL_GHD;E_th_loss
27008100;161.2393663;8.990926715;26.66357424;102.2614957;0.991135982;58.692921;0;0
27009000;158.0977939;7.870181486;26.37994358;102.6309135;0.981369374;56.02673416;0;0
27009900;155.9070447;10.564154;25.12717958;102.6690188;0.984800529;52.90508964;0;0
27010800;159.2848724;14.18530313;24.27125891;102.5925668;0.970500796;49.25165565;0;0
27011700;168.1718628;34.16402362;25.42578279;98.82186201;0.674111132;45.10695149;0;0
27012600;155.5898332;35.30013919;26.75360776;99.13437311;0.668473916;40.66374932;0;0
27013500;152.6189804;19.4621886;27.2768271;99.31413619;0.644455831;36.21505552;0;0
27014400;152.0115099;21.09394052;28.45487033;98.82744256;0.639959023;32.0680058;0;0
27015300;152.7397514;18.0570351;29.85390471;95.14148379;0.569294938;28.46954771;0;0
27016200;149.9407185;31.95190482;32.5319448;95.10224239;0.565891548;25.38883873;0;0
27017100;153.8837389;27.96950193;35.60412577;95.20661596;0.565891548;22.70688171;0;0
27018000;150.9422393;32.04101836;37.67516782;94.57201324;0.509571196;20.24997161;0;0
27018900;145.0911298;28.58226581;36.85803079;92.18670804;0.203086663;17.89183185;0;0
27019800;136.1000827;47.45336279;37.29525154;91.97673256;0.189681664;15.66656062;0;0
27020700;135.5061431;42.87368195;38.91271468;92.12642412;0.16566358;13.65576705;0;0
27021600;145.2795409;67.35624207;40.15754926;91.52667982;0.153121007;11.98466209;0;0
27022500;144.2019093;43.00705203;37.90270997;90.99034772;0.082456922;10.71419579;0;0
27023400;137.1874978;35.48290076;36.70798996;90.8126976;0.074237722;9.793512909;0;0
27024300;125.0444625;48.03775276;35.03090027;91.06497521;0.074237722;9.119023522;0;0
27025200;127.5085338;66.29966261;37.29469863;91.00379242;0.01791737;8.579235491;0;0
27026100;129.8606179;60.51371662;38.64662977;94.19883313;0.01791737;8.065498473;0;0
27027000;145.1470009;42.91142553;39.17166412;94.28613295;0.003948325;7.570294074;0;0
27027900;142.8216296;28.71418177;40.35186302;94.95807427;0.003948325;7.107224556;0;0
27028800;134.210623;26.87592167;40.22548187;95.53026347;0.003948325;6.718215864;0;0
27029700;127.3644665;31.16964748;39.92909008;100.8111197;0.003948325;6.386202571;0;0
27030600;121.8415074;22.55401501;40.68171933;101.1473491;0;6.133242534;0;0
27031500;127.3498042;26.81752323;40.73960694;101.8646247;0;5.931393647;0;0
27032400;128.8904805;27.20411189;41.47213521;103.3204205;0;5.7558484;0;0
27033300;126.0475434;23.36749677;38.17165081;107.9206957;0;5.600706247;0;0
27034200;124.909481;21.73388477;36.5512696;108.6856724;0;5.449223989;0;0
27035100;123.9906497;14.8937297;33.83262503;109.2573216;0;5.32998653;0;0
